AGN,Z,n,R,NH,U,H1_4861.36A,O3_5007.00A,H1_6562.85A,N2_6584.00A,O1_6300.00A,S2_6720.00A,NE5_3345.99A,NE5_3426.03A,FE11_7891.87A,S12_7610.59A,FE7_5720.71A,FE7_5720.22A,FE7_6086.97A,S8_9914.00A,AL5_2.90450m,AL6_3.65932m,AL6_9.11329m,AL8_5.82933m,AL8_3.69722m,AL9_2.04444m,AR3_8.98898m,AR3_21.8253m,AR3_6.36676m,AR5_13.0985m,AR5_7.89971m,AR5_4.92778m,AR6_4.52800m,CA4_3.20610m,CA5_4.15739m,CA5_11.4792m,CA8_2.32117m,CL4_20.3197m,CL4_11.7629m,CL4_7.45009m,CL5_6.70733m,FE4_2.83562m,FE4_2.86447m,FE4_2.80554m,FE4_2.71569m,FE4_2.77325m,FE4_2.71341m,FE4_1.54429m,FE4_1.54122m,FE4_1.66239m,FE4_2.77563m,FE4_2.12139m,FE4_1.11332m,FE4_1.07611m,FE4_1.50700m,FE4_1.90740m,FE4_2.18716m,FE4_1.07749m,FE4_2.83081m,FE4_3.16981m,FE4_3.80820m,FE4_3.03352m,FE4_1.54322m,FE4_7.40704m,FE4_2.90821m,FE4_2.08829m,FE4_1.50629m,FE4_5.39606m,FE4_1.27087m,FE4_4.72617m,FE4_3.58762m,FE4_3.58878m,FE4_2.97281m,FE4_3.38592m,FE4_8.15106m,FE4_2.90104m,FE4_2.83329m,FE4_3.39109m,FE4_3.21932m,FE5_25.9131m,FE5_20.8407m,FE5_2.04669m,FE5_3.36066m,FE5_3.27093m,FE5_1.91721m,FE5_3.15073m,FE5_1.92100m,FE5_2.03959m,FE5_2.89265m,FE5_6.68535m,FE5_1.04005m,FE5_3.02517m,FE5_1.03533m,FE5_2.03151m,FE5_1.02599m,FE5_1.02140m,FE5_4.89702m,FE5_10.8962m,FE5_5.23472m,FE5_1.00817m,FE5_3.51633m,FE5_1.81848m,FE5_1.03480m,FE5_1.47688m,FE5_1.06742m,FE5_1.62393m,FE5_1.40642m,FE5_5.71894m,FE6_19.5527m,FE6_14.7670m,FE6_12.3074m,FE6_1.34929m
0,1,300,21.4,22,0.001156,0.00020113,0.000037811,0.0014901,0.00054281,6.3983E-06,0.00056811,0,0,0,0,0,0,0,0,1E-21,0,0,0,0,0,0.00067709,0.000062761,1.2222E-07,6.6E-21,3.6E-21,0,0,2.3125E-13,0,0,0,1.6397E-08,1.1991E-08,7.6345E-13,0,6.2951E-09,2.998E-09,1.8463E-09,1.3656E-09,8.5369E-10,3.9896E-10,1.667E-10,1.3565E-10,1.291E-11,1.2694E-10,1.3304E-11,1.1064E-11,8.0428E-12,4.6793E-11,6.0834E-12,5.5187E-12,4.3723E-12,4.0902E-11,6.9765E-12,5.9415E-12,4.933E-12,1.6788E-11,1.9989E-12,2.229E-12,1.1949E-12,7.373E-12,2.1435E-12,7.0482E-13,2.0103E-12,1.6514E-12,9.7588E-13,3.0224E-13,1.7414E-12,1.5303E-13,6.4065E-13,2.7186E-13,3.0314E-13,6.0434E-14,9.97E-20,4.71E-20,2E-22,1E-22,1E-22,1E-22,1E-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,300,21.4,23,0.001156,1.2506E-08,1.755E-15,5.2132E-08,9.668E-12,5.7667E-14,1.7114E-11,0,0,0,0,0,0,0,0,1E-22,0,0,0,0,0,0.000025398,0.000014037,4.0216E-08,1.5E-21,8E-22,0,0,1.9032E-14,0,0,0,3.1376E-09,1.3439E-09,2.3626E-13,0,3.291E-10,1.6316E-10,9.2647E-11,5.9502E-11,4.0518E-11,1.7383E-11,1.9374E-13,1.5331E-13,2.7338E-14,6.11E-12,1.595E-13,5.2756E-16,2.6216E-16,4.3402E-14,3.6006E-14,7.9379E-14,1.4814E-16,2.1095E-12,5.4898E-13,8.0561E-13,3.3331E-13,1.8974E-14,6.2881E-13,1.2953E-13,1.2905E-14,6.8386E-15,5.7043E-13,1.384E-16,4.3895E-13,1.9222E-13,1.1359E-13,1.8964E-14,1.6996E-13,2.4972E-14,3.675E-14,1.4212E-14,2.989E-14,5.029E-15,3E-20,9.5E-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,300,21.3,20,0.001832,0.011002,0.0038911,0.032004,0.0086316,0.000014298,0.0061637,0,0,0,0,0,0,0,0,3.9E-21,0,0,0,0,0,0.0020798,0.00013623,2.4526E-07,2.2E-20,1.2E-20,0,0,9.2249E-13,0,0,0,7.2176E-08,5.8605E-08,3.0449E-12,0,3.0006E-08,1.4189E-08,8.8728E-09,6.7352E-09,4.1435E-09,1.9677E-09,1.5514E-09,1.2683E-09,1.0461E-10,6.145E-10,7.9889E-11,1.658E-10,1.2786E-10,4.52E-10,4.1352E-11,3.2081E-11,6.9094E-11,1.9545E-10,2.9895E-11,2.294E-11,2.1768E-11,1.5697E-10,6.4444E-12,1.0057E-11,7.3094E-12,7.1221E-11,7.2321E-12,8.4261E-12,7.0581E-12,6.5624E-12,3.8768E-12,1.344E-12,7.3949E-12,5.6899E-13,3.0006E-12,1.2957E-12,1.2848E-12,2.6314E-13,3.652E-19,1.867E-19,1.1E-21,6E-22,5E-22,6E-22,3E-22,2E-22,1E-22,1E-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,300,21.3,21,0.001832,0.0082949,0.0022404,0.027937,0.0091693,0.000097726,0.0081324,0,0,0,0,0,0,0,0,3.6E-21,0,0,0,0,0,0.0018966,0.00013091,2.3841E-07,2.11E-20,1.15E-20,0,0,8.5738E-13,0,0,0,6.8879E-08,5.5046E-08,2.9478E-12,0,2.7575E-08,1.3054E-08,8.1442E-09,6.1574E-09,3.7972E-09,1.7989E-09,1.288E-09,1.0522E-09,8.8189E-11,5.6337E-10,7.0485E-11,1.2749E-10,9.7448E-11,3.7313E-10,3.5803E-11,2.8445E-11,5.2708E-11,1.7954E-10,2.7802E-11,2.1676E-11,2.0154E-11,1.3022E-10,6.2438E-12,9.2717E-12,6.4308E-12,5.8793E-11,6.9721E-12,6.6984E-12,6.7644E-12,6.1731E-12,3.6468E-12,1.2418E-12,6.9192E-12,5.4051E-13,2.7648E-12,1.1907E-12,1.2025E-12,2.4508E-13,3.533E-19,1.785E-19,9E-22,6E-22,5E-22,5E-22,3E-22,1E-22,1E-22,1E-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,300,21.3,22,0.001832,0.00030774,0.000090753,0.0022838,0.00075146,7.2018E-06,0.000698,0,0,0,0,0,0,0,0,2.2E-21,0,0,0,0,0,0.0010905,0.00010102,1.9674E-07,1.63E-20,9E-21,0,0,5.5956E-13,0,0,0,5.1761E-08,3.7798E-08,2.407E-12,0,1.6766E-08,7.9884E-09,4.9196E-09,3.6367E-09,2.2735E-09,1.0625E-09,4.436E-10,3.6098E-10,3.3119E-11,3.3806E-10,3.4141E-11,2.8453E-11,2.0685E-11,1.2451E-10,1.5609E-11,1.4163E-11,1.1245E-11,1.0893E-10,1.8078E-11,1.5423E-11,1.2784E-11,4.4675E-11,5.1335E-12,5.7411E-12,3.0663E-12,1.9618E-11,5.5658E-12,1.8071E-12,5.2187E-12,4.2817E-12,2.5294E-12,7.7849E-13,4.6559E-12,3.9668E-13,1.7063E-12,7.24E-13,8.105E-13,1.6066E-13,2.871E-19,1.354E-19,4E-22,4E-22,3E-22,2E-22,2E-22,1E-22,1E-22,1E-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,300,21.3,23,0.001832,1.198E-08,4.2103E-15,5.0944E-08,1.3372E-11,6.4359E-14,2.0424E-11,0,0,0,0,0,0,0,0,1E-22,0,0,0,0,0,0.000040897,0.000022592,6.4735E-08,3.6E-21,2.1E-21,0,0,4.6046E-14,0,0,0,9.904E-09,4.2358E-09,7.4484E-13,0,8.7624E-10,4.346E-10,2.4678E-10,1.5841E-10,1.0787E-10,4.6278E-11,5.1536E-13,4.0781E-13,7.0094E-14,1.6266E-11,4.0915E-13,1.356E-15,6.7388E-16,1.1544E-13,9.2345E-14,2.0363E-13,3.8079E-16,5.6162E-12,1.422E-12,2.0904E-12,8.6348E-13,5.0472E-14,1.6143E-12,3.335E-13,3.3102E-14,1.8189E-14,1.4807E-12,3.5468E-16,1.1391E-12,4.982E-13,2.9431E-13,4.8826E-14,4.5427E-13,6.4713E-14,9.7852E-14,3.7837E-14,7.9892E-14,1.3366E-14,8.63E-20,2.73E-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,300,21.2,20,0.002903,0.011534,0.007239,0.033575,0.0049323,3.6601E-06,0.0030207,0,0,0,0,0,0,0,0,1.16E-20,0,0,0,0,0,0.002449,0.00016,2.8804E-07,7.36E-20,4.01E-20,0,0,1.8147E-12,0,0,0,1.887E-07,1.5291E-07,7.9446E-12,0,6.0377E-08,2.8567E-08,1.7864E-08,1.3549E-08,8.3354E-09,3.9584E-09,3.1219E-09,2.5522E-09,1.9825E-10,1.2362E-09,1.514E-10,3.1599E-10,2.4369E-10,9.0934E-10,7.8367E-11,6.0796E-11,1.3169E-10,3.9318E-10,5.7536E-11,4.4259E-11,4.1905E-11,3.1587E-10,1.2213E-11,1.9165E-11,1.3852E-11,1.4328E-10,1.3959E-11,1.5969E-11,1.3617E-11,1.2639E-11,7.4631E-12,2.5612E-12,1.4966E-11,1.0956E-12,6.0377E-12,2.6065E-12,2.6002E-12,5.2865E-13,1.3538E-18,6.915E-19,3.7E-21,2.2E-21,1.8E-21,2.2E-21,1.1E-21,6E-22,5E-22,3E-22,1E-22,1E-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,300,21.2,21,0.002903,0.012524,0.0048346,0.04218,0.012238,0.00010908,0.0095675,0,0,0,0,0,0,0,0,7.2E-21,0,0,0,0,0,0.0030247,0.00020865,3.8002E-07,4.76E-20,2.6E-20,0,0,2.0138E-12,0,0,0,1.9938E-07,1.5908E-07,8.5203E-12,0,6.4175E-08,3.0391E-08,1.8961E-08,1.4328E-08,8.836E-09,4.1858E-09,2.9952E-09,2.4469E-09,1.9792E-10,1.311E-09,1.5824E-10,2.868E-10,2.1922E-10,8.6757E-10,8.0367E-11,6.3862E-11,1.1857E-10,4.1779E-10,6.2993E-11,4.9189E-11,4.5671E-11,3.0284E-10,1.4027E-11,2.0887E-11,1.4437E-11,1.367E-10,1.5828E-11,1.5026E-11,1.5352E-11,1.3994E-11,8.2647E-12,2.7976E-12,1.6165E-11,1.2252E-12,6.4348E-12,2.7708E-12,2.8093E-12,5.6989E-13,8.844E-19,4.464E-19,2.2E-21,1.4E-21,1.1E-21,1.3E-21,7E-22,3E-22,3E-22,2E-22,1E-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,300,21.2,22,0.002903,0.00046244,0.0001952,0.0034377,0.00099778,7.9789E-06,0.00081677,0,0,0,0,0,0,0,0,4.4E-21,0,0,0,0,0,0.0017386,0.00016101,3.1361E-07,3.67E-20,2.01E-20,0,0,1.3141E-12,0,0,0,1.4982E-07,1.0922E-07,6.9569E-12,0,3.9017E-08,1.8596E-08,1.1452E-08,8.4612E-09,5.2896E-09,2.4719E-09,1.031E-09,8.3898E-10,7.4286E-11,7.8655E-10,7.6623E-11,6.3945E-11,4.6484E-11,2.8932E-10,3.5023E-11,3.1788E-11,2.5271E-11,2.5345E-10,4.0958E-11,3.4998E-11,2.8967E-11,1.0383E-10,1.1534E-11,1.2932E-11,6.8814E-12,4.5587E-11,1.2636E-11,4.0504E-12,1.1844E-11,9.7059E-12,5.7323E-12,1.7536E-12,1.0877E-11,8.9919E-13,3.9709E-12,1.6846E-12,1.8934E-12,3.7357E-13,7.186E-19,3.385E-19,1E-21,9E-22,7E-22,6E-22,5E-22,1E-22,1E-22,1E-22,1E-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,300,21.2,23,0.002903,1.2481E-08,9.0497E-15,5.2456E-08,1.773E-11,7.1416E-14,2.3537E-11,0,0,0,0,0,0,0,0,3E-22,0,0,0,0,0,0.000065192,0.000036005,1.0319E-07,8.1E-21,4.6E-21,0,0,1.0812E-13,0,0,0,2.8664E-08,1.2238E-08,2.1527E-12,0,2.0385E-09,1.0115E-09,5.7431E-10,3.6844E-10,2.5091E-10,1.0764E-10,1.1973E-12,9.4744E-13,1.5715E-13,3.7836E-11,9.1788E-13,3.0458E-15,1.5135E-15,2.6813E-13,2.0711E-13,4.5685E-13,8.5525E-16,1.3064E-11,3.2208E-12,4.7424E-12,1.9559E-12,1.1726E-13,3.6262E-12,7.5099E-13,7.4258E-14,4.2249E-14,3.361E-12,7.9454E-16,2.5848E-12,1.129E-12,6.668E-13,1.0995E-13,1.061E-12,1.4665E-13,2.2765E-13,8.8014E-14,1.866E-13,3.107E-14,2.16E-19,6.82E-20,0,1E-22,1E-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
