Result
"['Ne6/Ne5(24)', 238.186]"
"['Na6(8)/Na4(9)', 1.185]"
"['Mg5(3)/Mg4', 1.083]"
"['Si7(6)/Si6', 0.794]"
"['Al8(3)/Al5', 0.726]"
"['Si10/Si7(6)', 0.376]"
"['Na7/Na4(6)', 0.327]"
"['Mg7(5)/Mg4(4)', 0.268]"
"['Si11/Si10', 0.248]"
"['Na6(14)/Na4(6)', 0.226]"
"['Al9/Al5', 0.094]"
"['Si10/Si6', 0.021]"
"['Al9/Al8(3)', -0.082]"
"['Si9/Si7(2)', -0.233]"
"['Fe13/Fe6(1.01)', -0.247]"
"['Si11/Si6', -0.94]"
"['Na6(8)/Na3', -1.606]"
"['Ne6/Ne5(14)', -238.522]"
