Result
"['Mg7(9)/Mg4', 51.844]"
"['Ne6/Ne5(14)', 24.189]"
"['Na7/Na6(14)', 18.228]"
"['Ne6/Ne5(24)', 6.311]"
"['Mg5(3)/Mg4', 3.793]"
"['Si7(2)/Si6', 3.121]"
"['Ca8/Ca5(4)', 1.833]"
"['Al8(5)/Al5', -0.083]"
"['Na6(14)/Na4(9)', -4.6]"
"['Mg7(5)/Mg5(3)', -15.12]"
"['Al8(5)/Al6(3)', -15.226]"
"['Na7/Na4(9)', -59.456]"
