Result
"['Al6(3)/Al5', 127.11]"
"['Ne6/Ne5(14)', 37.791]"
"['Na7/Na6(8)', 36.449]"
"['Na7/Na6(14)', 31.091]"
"['Na6(8)/Na3', 28.919]"
"['Mg7(9)/Mg4', 16.33]"
"['Mg7(5)/Mg5(3)', 8.674]"
"['Ca8/Ca5(11)', 7.308]"
"['Si9/Si7(6)', 3.676]"
"['Si7(2)/Si6', 3.328]"
"['Mg7(5)/Mg4(4)', 0.923]"
"['Al9/Al8(3)', 0.308]"
"['Al9/Al6(3)', -0.579]"
"['Si10/Si9', -1.629]"
"['Fe13/Fe6(1.01)', -2.857]"
"['Na6(8)/Na4(9)', -32.643]"
"['Na7/Na4(9)', -44.649]"
"['Na7/Na4(6)', -50.32]"
