Low Mass AGNs,Medium Mass AGNs,High Mass AGNs
"['Na7/Na4(9)', 129.7544416617524]","['Al9/Al6(3)', 174.8708143399022]","['Al6(9)/Al5', 305.9523938707292]"
"['Mg5(13)/Mg4', 84.57160745458802]","['Mg7(5)/Mg5(3)', 161.30428914129493]","['Al6(3)/Al5', 204.78007886811574]"
"['Ca8/Ca5(4)', 62.17131038739749]","['Na6(14)/Na4(9)', 119.29248909439767]","['Mg5(13)/Mg4', 152.18452509270625]"
"['Si9/Si6', 50.20858621955873]","['Ca8/Ca5(11)', 112.9218680551679]","['Na7/Na4(21)', 106.26485763411824]"
"['Si9/Si7(6)', 38.67826101564029]","['Si10/Si6', 112.07461892211288]","['Na6(8)/Na4(21)', 78.04719703472601]"
"['Na6(8)/Na4(21)', 33.739638223446406]","['Si9/Si7(2)', 84.10293198700747]","['Mg7(5)/Mg5(3)', 44.78465151372357]"
"['Mg7(9)/Mg5(3)', 33.42324944411632]","['Na6(14)/Na4(6)', 78.53140540533367]","['Al9/Al5', 35.14160055773481]"
"['Al8(5)/Al5', 27.461396526364123]","['Al8(3)/Al6(3)', 75.74451791718519]","['Mg7(9)/Mg5(13)', 29.061385038278186]"
"['Na7/Na4(21)', 22.122774275345893]","['Mg7(5)/Mg4(4)', 68.31706982026313]","['Na6(8)/Na4(9)', 21.218484767116905]"
"['Na6(14)/Na4(21)', 14.137468433565918]","['Al6(3)/Al5', 59.90157351720048]",
"['Mg7(5)/Mg4(4)', 12.843548380473406]","['Si7(2)/Si6', 43.285059310361405]",
,"['Na7/Na6(14)', 30.911663537475064]",
