agn%,U,Z,NH,N,R,redshift,S3_18.67m,S4_10.51m,O3_5007A,H1_6563A,NE3_15.55m,S2_6720A,N2_6584A,H1_4861A,NE2_12.81m,AR3_9.000m,AR2_6.980m,S2_1.033m,AR3_21.83m,CL4_20.40m,FE3_22.92m,NA3_7.320m,CL4_11.70m,K3_4.620m,ZN4_3.623m,K4_5.980m,FE4_2.836m,F2_29.32m,FE4_2.774m,FE4_2.716m,K4_15.39m,FE4_2.865m,TI3_1.206m,FE4_2.714m,TI3_1.180m,CA4_3.210m,FE4_2.806m,CR5_3.750m,FE3_7.789m,FE3_10.20m,FE3_8.608m,TI3_4.448m,FE3_8.208m,TI3_4.693m,TI3_1.241m
10.0,0.00144,1.0,21.0,300.0,21.291,0.0,4.5979,0.81703,1.0346,3.6209,2.1282,2.0809,1.0253,1,0.86748,0.32565,0.22441,0.10052,0.023257,0.0015373,0.013156,0.0045432,0.0012447,0.0012745,0.00095355,0.000068695,0.000011953,0.00011491,2.71E-06,2.52E-06,5.50E-06,1.83E-06,0.000011273,1.27E-06,6.18E-06,3.23E-06,1.09E-06,7.92E-07,2.09E-06,4.69E-07,2.36E-07,2.64E-07,1.62E-07,1.21E-07,4.64E-08
10.0,0.002283,1.0,21.0,300.0,21.191,0.0,4.668,1.5214,1.3824,3.6144,2.3242,1.7404,0.85519,1,0.6516,0.32523,0.17265,0.083981,0.023267,0.0027698,0.010782,0.0049501,0.0022455,0.001394,0.0010787,0.00013057,0.000019259,0.000087041,4.36E-06,4.06E-06,0.000010478,0.000002948,0.00001012,2.05E-06,5.54E-06,4.70E-06,1.76E-06,1.67E-06,0.000001908,4.30E-07,2.17E-07,2.39E-07,1.49E-07,1.09E-07,4.17E-08
10.0,0.003618,1.0,21.0,300.0,21.091,0.0,4.5504,2.6255,1.8293,3.5993,2.4948,1.4539,0.73298,1,0.46151,0.3146,0.12532,0.072653,0.02257,0.0046285,0.0082695,0.0053122,0.0037599,0.0014675,0.0011866,0.00023171,0.000030903,0.000062778,0.000007011,6.52E-06,0.000018656,4.74E-06,8.78E-06,3.30E-06,4.81E-06,6.76E-06,2.83E-06,3.35E-06,1.71E-06,3.88E-07,1.95E-07,2.12E-07,1.34E-07,9.68E-08,3.62E-08
10.0,0.005734,1.0,21.0,300.0,20.991001,0.0,4.2444,4.1825,2.4401,3.5715,2.6322,1.1801,0.64907,1,0.30627,0.29203,0.084357,0.063622,0.021037,0.0071673,0.0060563,0.0055915,0.0058387,0.0014824,0.0012698,0.00038407,0.000050273,0.000042735,0.000011423,0.000010623,0.000031073,7.71E-06,7.29E-06,5.37E-06,3.99E-06,9.52E-06,0.000004603,6.38E-06,1.52E-06,3.46E-07,1.74E-07,1.80E-07,1.20E-07,8.22E-08,3.00E-08
10.0,0.009088,1.0,21.0,300.0,20.891001,0.0,3.7496,6.0909,3.3129,3.5255,2.7258,0.90532,0.57086,1,0.18604,0.25809,0.050017,0.054194,0.018687,0.01022,0.0043354,0.0057495,0.0083564,0.0014248,0.0013195,0.00058953,0.000083065,0.000026753,0.000018906,0.000017581,0.000047993,0.000012759,5.68E-06,8.89E-06,3.11E-06,0.000012877,7.62E-06,0.000011507,0.000001349,3.10E-07,1.56E-07,1.44E-07,1.08E-07,6.54E-08,2.34E-08
20.0,0.00111,1.0,21.0,300.0,21.391001,0.0,5.3086,1.0251,1.7151,3.5651,2.6513,3.0003,1.4278,1,1.0047,0.36971,0.29393,0.1598,0.026631,0.0018876,0.013107,0.0060206,0.0015385,0.001746,0.0012353,0.000084586,0.000027011,0.00012873,6.13E-06,5.70E-06,6.85E-06,4.14E-06,0.000013822,2.88E-06,7.57E-06,4.50E-06,2.47E-06,0.000001388,3.08E-06,7.03E-07,3.54E-07,3.35E-07,2.44E-07,1.53E-07,5.69E-08
20.0,0.001759,1.0,21.0,300.0,21.291,0.0,5.2371,1.9458,2.3363,3.5562,2.8013,2.57,1.2156,1,0.73921,0.36365,0.22584,0.1375,0.026268,0.0034648,0.010556,0.0062979,0.002829,0.0018187,0.0013295,0.00016451,0.000045283,0.000096961,0.00001029,9.57E-06,0.000013351,0.000006946,0.000012557,4.84E-06,6.88E-06,6.58E-06,4.15E-06,3.07E-06,2.85E-06,6.52E-07,3.28E-07,3.09E-07,2.26E-07,1.41E-07,5.17E-08
20.0,0.002788,1.0,21.0,300.0,21.191,0.0,4.9604,3.3779,3.1119,3.5416,2.9166,2.1485,1.0644,1,0.5127,0.34507,0.16375,0.12029,0.025021,0.0058163,0.0080027,0.0064754,0.00476,0.001819,0.0013987,0.0002961,0.000073807,0.000069781,0.000016794,0.000015618,0.000024124,0.000011333,0.000010969,7.90E-06,6.01E-06,9.42E-06,0.000006764,6.26E-06,2.56E-06,5.90E-07,2.97E-07,2.75E-07,2.05E-07,1.25E-07,4.52E-08
20.0,0.004418,1.0,21.0,300.0,21.091,0.0,4.4806,5.3176,4.1261,3.5171,2.9953,1.7021,0.95104,1,0.33335,0.31298,0.11046,0.10321,0.022808,0.008906,0.00588,0.0065403,0.0073097,0.0017434,0.0014399,0.00049061,0.00011879,0.000047576,0.000027067,0.000025171,0.000040174,0.00001826,9.10E-06,0.00001273,4.99E-06,0.000013002,0.000010898,0.000011759,2.27E-06,5.26E-07,2.65E-07,2.33E-07,1.84E-07,1.06E-07,3.75E-08
20.0,0.007002,1.0,21.0,300.0,20.991001,0.0,3.8202,7.5212,5.5084,3.4766,3.0291,1.2595,0.82358,1,0.19713,0.26966,0.065829,0.084092,0.019783,0.012408,0.0042973,0.0064744,0.010219,0.0015881,0.0014444,0.00074205,0.00018968,0.000029591,0.000043287,0.000040253,0.000061139,0.00002919,7.03E-06,0.000020358,3.85E-06,0.000017064,0.000017421,0.000020547,2.00E-06,4.67E-07,2.36E-07,1.84E-07,1.63E-07,8.36E-08,2.89E-08
