Result
"['Al6(3)/Al5', 131.701]"
"['Na7/Na6(14)', 52.691]"
"['Ne6/Ne5(14)', 37.37]"
"['Na6(8)/Na3', 28.424]"
"['Mg7(5)/Mg4(4)', 17.373]"
"['Na7/Na6(8)', 7.997]"
"['Mg7(5)/Mg5(3)', 7.857]"
"['Ca8/Ca5(11)', 7.394]"
"['Si7(2)/Si6', 2.938]"
"['Si9/Si7(6)', 2.862]"
"['Si10/Si6', 1.835]"
"['Si10/Si9', -1.736]"
"['Fe13/Fe6(1.01)', -2.922]"
"['Na6(14)/Na4(6)*2', -16.607]"
"['Na6(8)/Na4(9)', -34.246]"
"['Na7/Na4(6)', -42.57]"
"['Na7/Na4(9)', -45.882]"
