Low Mass AGNs,Medium Mass AGNs,High Mass AGNs
"['Na7/Na6(14)', 94.5594798501934]","['Si9/Si7(6)', 118.10723032483055]","['Mg7(9)/Mg5(13)', 745.6846277783803]"
"['Mg5(5)/Mg4', 87.66075944952098]","['Mg7(5)/Mg5(3)', 111.03340939695391]","['Al8(5)/Al6(3)', 457.97439813493395]"
"['Mg7(5)/Mg5(3)', 69.55330758469886]","['Mg5(5)/Mg4', 83.53218417073933]","['Ca8/Ca5(11)', 446.14619605608453]"
"['Na6(8)/Na4(21)', 49.28086902874161]","['Na7/Na6(14)', 62.084227175484635]","['Mg7(5)/Mg4(4)', 210.97610688164855]"
"['Si9/Si7(6)', 48.77795212816347]","['Al8(3)/Al6(3)', 29.42373463789827]","['Mg7(9)/Mg5(5)', 199.38763984430648]"
"['Mg7(9)/Mg5(3)', 44.82811169886476]","['Si10/Si6', 28.15802633821726]","['Na7/Na4(6)', 96.4837851641941]"
"['Al9/Al8(5)', 27.906520038135994]","['Ne6/Ne5(14)', 25.57636274512234]","['Al9/Al8(5)', 71.05460809944275]"
"['Na6(8)/Na4(6)', 27.677088374034593]",0,"['Na6(8)/Na4(9)', 53.489857805026475]"
"['Al8(3)/Al5', 18.381705645003773]",0,0
"['Mg7(5)/Mg4(4)', 18.219886045057482]",0,0
"['Mg7(9)/Mg4', 17.755140051327487]",0,0
