Result
"['Mg7(9)/Mg4', 26.359]"
"['Na6(8)/Na3', 2.093]"
"['Fe13/Fe6(1.01)', 0.065]"
"['Na6(14)/Na4(6)', -18.113]"
"['Na6(14)/Na4(9)', -28.15]"
"[intercept, 9.95]"
