Result
"['Na6(8)/Na3', 3.025]"
"['Ca8/Ca5(11)', 2.405]"
"['Mg7(5)/Mg5(3)', 2.194]"
"['Al6(3)/Al5', 2.076]"
"['Mg7(5)/Mg4(4)', 1.304]"
"['Si9/Si7(6)', 1.007]"
"['Mg5(5)/Mg4', 0.632]"
"['Si7(6)/Si6', 0.606]"
"['Si9/Si6', 0.506]"
"['Fe13/Fe6(1.01)', -0.241]"
"['Na6(8)/Na4(9)', -1.026]"
"['Si10/Si7(6)', -1.562]"
