Z,U,R,n,NH,agn_percent,redshift,Lbol,L12um,W1L,W2L,W3L,W4L,w12_wrong,w23_wrong
0.1,-4.961777362,22.141001,1000,22.5,0,0,1,0.016932865,-10.63857124,-11.05376156,-15.24136931,-16.7744158,0.411688257,4.205825618
0.1,-4.961777362,22.141001,1000,23,0,0,1,0.015819457,-10.51156498,-10.9791345,-15.16913629,-16.71994999,0.464993964,4.205427427
0.1,-4.961777362,22.141001,1000,23.5,0,0,1,0.011657611,-10.106954,-10.73693313,-14.87262387,-16.50477211,0.630227037,4.142588825
1,-4.954677021,22.141001,1000,19,20,0,1,0.003915409,-10.69752528,-11.13798472,-15.00918357,-15.91513837,0.441071581,3.782403832
1,-4.954677021,22.141001,1000,19.5,20,0,1,0.004826764,-10.70049355,-11.14327419,-15.16369389,-15.99660741,0.443333455,3.934105388
1,-4.954677021,22.141001,1000,20,20,0,1,0.006371025,-10.70476694,-11.14822071,-15.24860184,-16.11538769,0.443968078,4.023419352
1,-4.954677021,22.141001,1000,20.5,20,0,1,0.010086443,-10.71753693,-11.15827807,-15.42799448,-16.32960522,0.440907087,4.211732517
1,-4.954677021,22.141001,1000,21,20,0,1,0.01519938,-10.73100565,-11.16988427,-15.63503331,-16.56790234,0.438564115,4.425241487
1,-4.954677021,22.141001,1000,21.5,20,0,1,0.017530227,-10.70815043,-11.16094961,-15.71292204,-16.68166726,0.452537343,4.517657992
1,-4.954677021,22.141001,1000,22,20,0,1,0.016433596,-10.58844499,-11.09164449,-15.64657917,-16.67128777,0.503725308,4.518598461
1,-4.954677021,22.141001,1000,22.5,20,0,1,0.012179481,-10.19712736,-10.85757437,-15.3752782,-16.47878096,0.663469903,4.473874008
1,-4.954677021,22.141001,1000,23,20,0,1,0.004872012,-8.977257235,-10.12477137,-14.59765445,-16.0120526,1.157541481,4.413501782
1,-4.954677021,22.141001,1000,23.5,20,0,1,3.86E-04,-5.306161038,-7.861533252,-12.50693705,-14.78660204,2.578547293,4.570538427
1,-4.94577009,22.141001,1000,24,0,0,1,9.18E-06,0.727295077,-1.412277992,-7.158259493,-8.734154593,2.144387493,5.752933088
1,-4.94577009,22.041,1000,19,0,0,1,0.002625985,-10.63981793,-10.88835689,-14.03466775,-15.96348132,0.248601281,3.077642641
1,-4.94577009,22.041,1000,19.5,0,0,1,0.00324999,-10.64075041,-10.88777716,-14.13063372,-16.00860518,0.246945031,3.18527761
1,-4.94577009,22.041,1000,20,0,0,1,0.005133771,-10.64656667,-10.88886087,-14.37876293,-16.1335732,0.241758888,3.456255067
1,-4.94577009,22.041,1000,20.5,0,0,1,0.010063153,-10.66598197,-10.89661852,-14.84430394,-16.39531775,0.228949807,3.94545099
1,-4.94577009,22.041,1000,21,0,0,1,0.015682821,-10.68040418,-10.90222236,-15.20639249,-16.64072672,0.218940566,4.31788236
1,-4.94577009,22.041,1000,21.5,0,0,1,0.016275289,-10.64624081,-10.88196183,-15.23471206,-16.68594941,0.232888294,4.367417652
1,-4.94577009,22.041,1000,22,0,0,1,0.014847207,-10.52127506,-10.80762724,-15.1439296,-16.62653274,0.284317314,4.34844033
1,-4.94577009,22.041,1000,22.5,0,0,1,0.010975681,-10.12659891,-10.5719624,-14.85543484,-16.42018683,0.445802179,4.288290879
1,-4.94577009,22.041,1000,23,0,0,1,0.004214782,-8.895325069,-9.830380065,-14.00996979,-15.77093855,0.942483083,4.168555903
