Result
"['Mg7(5)/Mg5(3)', 3.06]"
"['Na6(14)/Na4(6)', 1.11]"
"['Na7/Na4(6)', 0.693]"
"['Ca8/Ca5(11)', 0.495]"
"['Si9/Si7(6)', 0.217]"
"[intercept, -3.06]"
