Result
"['Ne6/Ne5(24)', 13.569]"
"['Ne6/Ne5(14)', 2.994]"
"['Ca8/Ca5(11)', 1.862]"
"['Ca8/Ca5(4)', 0.544]"
"['Na6(8)/Na3', 0.532]"
"['Fe13/Fe6(1.01)', -3.773]"
"['Na7/Na4(9)', -14.502]"
