Result
"['Al6(3)/Al5', 116.057]"
"['Na7/Na6(8)', 38.972]"
"['Ne6/Ne5(14)', 37.798]"
"['Na6(8)/Na3', 29.997]"
"['Na7/Na6(14)', 20.787]"
"['Mg7(9)/Mg4', 10.9]"
"['Ca8/Ca5(11)', 7.119]"
"['Mg7(5)/Mg4(4)', 6.834]"
"['Mg7(5)/Mg5(3)', 6.522]"
"['Si7(2)/Si6', 3.202]"
"['Si9/Si7(6)', 3.008]"
"['Si10/Si9', -1.655]"
"['Fe13/Fe6(1.01)', -2.559]"
"['Na6(8)/Na4(9)', -34.286]"
"['Na7/Na4(6)', -43.73]"
"['Na7/Na4(9)', -45.871]"
