Result
"['Al6(3)/Al5', 118.928]"
"['Na6(8)/Na3', 27.256]"
"['Mg7(9)/Mg4', 10.742]"
"['Ca8/Ca5(11)', 4.312]"
"['Fe13/Fe6(1.01)', 2.893]"
"['Si10/Si9', 1.421]"
"['Na7/Na4(9)', -0.698]"
"['Na6(14)/Na4(6)', -20.793]"
"['Na6(14)/Na4(21)', -35.79]"
"['Na6(14)/Na4(9)', -56.665]"
